source,title,description,content,publishedAt,url,leaning,country_of_origin,sentiment_label,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,cluster,cluster_label,clean_text,summary
associated-press,Why Cyber Monday could break spending records despite economic uncertainty,NEW YORK (AP) — Deals promoted as some of the best of the holiday season are expected to keep people across the United States glued to their computers and smartphones as the post-Thanksgiving shopping marathon wraps up on Cyber Monday.,NEW YORK (AP) Deals promoted as some of the best of the holiday season are expected to keep people across the United States glued to their computers and smartphones as the post-Thanksgiving shopping … [+6019 chars],2025-12-01T14:43:34Z,https://apnews.com/article/cyber-monday-deals-discounts-4acd3e4b065f62a1c08cd04905b11f87,Center,USA,Positive,0.9265,0.248,0.0,0.752,3,Topic_3,new york deals promoted best holiday season expected keep people across united states glued computers smartphones postthanksgiving shopping chars,Deals promoted as some of the best of the holiday season are expected to keep people glued to their computers and smartphones. The post-Thanksgiving shopping is expected to be intense.
associated-press,Here's why everyone's talking about a 'K-shaped' economy,"References to the “K-shaped economy” are rapidly proliferating. So what does the phrase mean? Simply put, the upper part of the K refers to higher-income Americans seeing their incomes and wealth rise while the bottom part points to lower-income households st…","WASHINGTON (AP) From corporate executives to Wall Street analysts to Federal Reserve officials, references to the K-shaped economy are rapidly proliferating.
So what does it mean? Simply put, the up… [+7230 chars]",2025-12-01T12:20:40Z,https://apnews.com/article/kshaped-economy-spending-income-inequality-dfa59144ecb2e1b674242666e28ff556,Center,USA,Positive,0.4939,0.065,0.0,0.935,3,Topic_3,washington corporate executives wall street analysts federal reserve officials references kshaped economy rapidly proliferating mean simply put chars,"From corporate executives to Wall Street analysts to Federal Reserve officials, references to the K-shaped economy are rapidly proliferating. So what does it mean? Simply put, the up…"
associated-press,Hong Kong stifles dissent after fire draws an outpouring of public sympathy,Hong Kong authorities say some of the netting on buildings that caught fire last week did not meet codes for fire resistance. The blaze that began Wednesday has claimed at least 151 lives and left thousands homeless. It broke out at the Wang Fuk Court complex…,HONG KONG (AP) Hong Kong officials said Monday that their investigation into a deadly blaze that killed at least 151 has revealed some of the netting that covered scaffolding used in renovations was … [+5110 chars],2025-12-01T07:56:28Z,https://apnews.com/article/hong-china-wang-fire-dissent-c0db2a85bfbeac2fdcc6003b6ee7a463,Center,USA,Negative,-0.7579,0.038,0.153,0.809,0,Topic_0,hong kong hong kong officials said monday investigation deadly blaze killed least revealed netting covered scaffolding used renovations chars,Hong Kong officials say investigation into deadly blaze that killed at least 151 has revealed some of the netting that covered scaffolding used in renovations was unsafe.
associated-press,Brian Walshe goes on trial in death of wife who disappeared more than 2 years ago,"DEDHAM, Mass. (AP) — A Massachusetts man goes on trial Monday in connection with the grisly murder of his wife, who disappeared more than two years ago and whose body has never been found.","DEDHAM, Mass. (AP) A Massachusetts man goes on trial Monday in connection with the grisly murder of his wife, who disappeared more than two years ago and whose body has never been found.
Ana Walshe,… [+3346 chars]",2025-12-01T05:10:00Z,https://apnews.com/article/brian-walshe-trial-wife-3d290aed2d1a0f1999b7f52601f30bf3,Center,USA,Negative,-0.9081,0.0,0.224,0.776,2,Topic_2,dedham mass massachusetts man goes trial monday connection grisly murder wife disappeared two years ago whose body never found ana walshe chars,A Massachusetts man goes on trial Monday in connection with the grisly murder of his wife. Ana Walshe disappeared more than two years ago and whose body has never been found.
associated-press,"Conservatives ahead in Honduras presidential vote, early results show","With votes from about 41% of polling places counted in Honduras, preliminary and partial results showed conservative candidates Nasry Asfura and Salvador Nasralla and leading the presidential contest Sunday and the governing party trailing. The National Elect…","TEGUCIGALPA, Honduras (AP) With votes from about 43% of polling places counted early Monday in Honduras presidential contest, preliminary and partial results showed two conservative challengers leadi… [+4071 chars]",2025-12-01T05:04:14Z,https://apnews.com/article/honduras-election-trump-moncada-nasralla-asfura-results-99e15bb759ab9a91e0aea94e09519607,Center,USA,Positive,0.4019,0.057,0.0,0.943,2,Topic_2,tegucigalpa honduras votes polling places counted early monday honduras presidential contest preliminary partial results showed two conservative challengers leadi chars,Preliminary and partial results showed two conservative challengers lead. With votes from about 43% of polling places counted early Monday in Honduras presidential contest.
associated-press,Report says world's biggest arms producers increased revenue by 5.9% last year to record level,A new report says that the world’s biggest weapons-producing companies saw a 5.9% increase in revenue from sales of arms and military services last year as demand was fed by the wars in Ukraine and Gaza as well as countries’ rising military spending. The Stoc…,STOCKHOLM (AP) The worlds biggest weapons-producing companies saw a 5.9% increase in revenue from sales of arms and military services last year as demand was fed by the wars in Ukraine and Gaza as we… [+2633 chars],2025-12-01T01:54:58Z,https://apnews.com/article/global-arms-sales-2024-sipri-ukraine-gaza-3bd387ecc7523004140d2fcaa681ae0e,Center,USA,Positive,0.1027,0.101,0.079,0.82,2,Topic_2,stockholm worlds biggest weaponsproducing companies saw increase revenue sales arms military services last year demand fed wars ukraine gaza chars,The worlds biggest weapons-producing companies saw a 5.9% increase in revenue from sales of arms and military services last year. Demand was fed by the wars in Ukraine and Gaza.
associated-press,Trump says he'll release MRI results,"President Donald Trump says he'll release the results of his MRI test that he received in October. During an exchange with reporters as he traveled back to Washington from Florida on Sunday, he said: “If you want to have it released, I’ll release it."" He said…","WASHINGTON (AP) President Donald Trump said Sunday that he would release the results of his MRI test that he received in October.
If you want to have it released, Ill release it, the president said … [+716 chars]",2025-12-01T00:01:42Z,https://apnews.com/article/donald-trump-mri-physical-white-house-0c66f2f9fca865d842ee94329a210a42,Center,USA,Positive,0.0772,0.025,0.0,0.975,2,Topic_2,washington president donald trump said sunday would release results mri test received october want released ill release president said chars,"President Donald Trump said Sunday that he would release the results of his MRI test that he received in October. If you want to have it released, Ill release it, the president said."
associated-press,Rubio says US-Ukraine talks on Russia war were productive but much work remains in search of a deal,"U.S. and Ukrainian officials completed roughly four hours of talks aimed at finding an endgame to the war between Russia and Ukraine. Sunday's talks in Florida took place, just days before a U.S. envoy is due in Moscow to meet…","Ukrainian officials, left to right, Oleg Ivashchenko, Head of the Foreign Intelligence Service, Andrii Hnatov, Chief of the General Staff, Vadym Skibitskyi, Deputy Chief to the Head of the Defence In… [+139 chars]",2025-11-30T21:00:19Z,https://apnews.com/article/trump-ukraine-russia-rubio-witkoff-de0fe08a5f472e130f46aa0bf3338b43,Center,USA,Negative,-0.8316,0.0,0.126,0.874,2,Topic_2,ukrainian officials left right oleg ivashchenko head foreign intelligence service andrii hnatov chief general staff vadym skibitskyi deputy chief head defence chars,"Ukrainian officials, left to right, Oleg Ivashchenko, Head of the Foreign Intelligence Service, Andrii Hnatov, Chief of the General Staff. Vadym Skibitskyi, Deputy Chief to the head of the Defence In…"
associated-press,Trump commutes prison sentence for private equity executive,President Donald Trump has commuted the prison sentence of a former investment manager convicted of defrauding investors. It's the latest in a series of clemency actions Trump has taken in white-collar criminal cases. David Gentile had been convicted for his …,"HALLANDALE BEACH, Fla. (AP) President Donald Trump has commuted the prison sentence of former investment manager David Gentile, who was convicted of defrauding investors the latest in a series of cle… [+1136 chars]",2025-11-30T20:58:24Z,https://apnews.com/article/trump-clemency-commutation-david-gentile-fraud-4901d5e2f710b47ee0372a3f0835fa6c,Center,USA,Negative,-0.8555,0.049,0.187,0.765,2,Topic_2,hallandale beach fla president donald trump commuted prison sentence former investment manager david gentile convicted defrauding investors latest series cle chars,President Donald Trump has commuted the prison sentence of former investment manager David Gentile. Gentile was convicted of defrauding investors the latest in a series of cle…
associated-press,Lawmakers voice support for congressional reviews of Trump's military strikes on boats,Lawmakers from both parties say they support congressional reviews of U.S. military strikes against vessels suspected of smuggling drugs in the Caribbean Sea. Their comments in Sunday news show interview follow a Washington Post report that Defense Secretary …,WASHINGTON (AP) Lawmakers from both parties said Sunday they support congressional reviews of U.S. military strikes against vessels suspected of smuggling drugs in the Caribbean Sea and eastern Pacif… [+4380 chars],2025-11-30T18:49:00Z,https://apnews.com/article/military-strikes-boats-drugs-caribbean-hegseth-congress-93c513e28f38688f5582150c7675c072,Center,USA,Negative,-0.1027,0.158,0.165,0.677,2,Topic_2,washington lawmakers parties said sunday support congressional reviews military strikes vessels suspected smuggling drugs caribbean sea eastern pacif chars,Lawmakers from both parties said Sunday they support congressional reviews of U.S. military strikes against vessels suspected of smuggling drugs in the Caribbean Sea.
